prompt_id,category,model_name,device,input_token_count,output_token_count,latency_sec,tokens_per_sec,prompt_text,generated_text
p1,short_qa,distilgpt2,mps,7,64,1.5263912500813603,41.92896152712396,What is the capital of France?,"What is the capital of France?































































"
p2,short_qa,distilgpt2,mps,10,64,1.3699744580080733,46.71619943415241,Explain what a GPU does in simple words.,"Explain what a GPU does in simple words.































































"
p3,summarization,distilgpt2,mps,28,64,1.2517217500135303,51.1295741240481,"Summarize this in 2 sentences: Machine learning systems often face bottlenecks in data loading, model serving, and hardware utilization.","Summarize this in 2 sentences: Machine learning systems often face bottlenecks in data loading, model serving, and hardware utilization.































































"
p4,summarization,distilgpt2,mps,31,64,1.026782542001456,62.33062735489054,"Summarize this paragraph: NVIDIA develops GPUs, software platforms, and AI infrastructure used in machine learning, inference, robotics, and high-performance computing.","Summarize this paragraph: NVIDIA develops GPUs, software platforms, and AI infrastructure used in machine learning, inference, robotics, and high-performance computing.































































"
p5,coding,distilgpt2,mps,15,64,1.3242482090136036,48.32930833085427,Write a Python function to check if a string is a palindrome.,"Write a Python function to check if a string is a palindrome.































































"
p6,coding,distilgpt2,mps,9,64,1.5018710830481723,42.613511054561805,Write Python code to reverse a linked list.,"Write Python code to reverse a linked list.































































"
p7,reasoning,distilgpt2,mps,18,64,1.1170407920144498,57.29423711069999,"If a train travels 60 miles in 1.5 hours, what is its average speed?","If a train travels 60 miles in 1.5 hours, what is its average speed?































































"
p8,reasoning,distilgpt2,mps,22,64,1.0010393749689683,63.93354906941994,A batch job takes 12 minutes on 1 GPU and 4 minutes on 4 GPUs. What is the speedup?,"A batch job takes 12 minutes on 1 GPU and 4 minutes on 4 GPUs. What is the speedup?































































"
p9,long_context,distilgpt2,mps,60,64,1.7579961670562625,36.40508506179909,"In machine learning inference systems, throughput measures how many requests or tokens can be processed in a given time, while latency measures how long a single request takes to complete. Engineers often face tradeoffs between throughput and latency, especially under concurrent workloads. Explain the difference between throughput and latency in simple terms.","In machine learning inference systems, throughput measures how many requests or tokens can be processed in a given time, while latency measures how long a single request takes to complete. Engineers often face tradeoffs between throughput and latency, especially under concurrent workloads. Explain the difference between throughput and latency in simple terms.































































"
p10,long_context,distilgpt2,mps,42,64,1.2787127080373466,50.05033546450904,"Large language models are often deployed using inference servers that support batching, caching, and optimized execution backends. These choices affect memory usage, latency, and cost. Explain why benchmarking different serving stacks matters.","Large language models are often deployed using inference servers that support batching, caching, and optimized execution backends. These choices affect memory usage, latency, and cost. Explain why benchmarking different serving stacks matters.































































"
p11,short_qa,distilgpt2,mps,10,64,1.0314238750142977,62.05014402940094,What is the difference between RAM and VRAM?,"What is the difference between RAM and VRAM?































































"
p12,coding,distilgpt2,mps,11,64,1.2410830840235576,51.56786102709074,Write a Python function that merges two sorted arrays.,"Write a Python function that merges two sorted arrays.































































"
p13,reasoning,distilgpt2,mps,16,64,1.10302487493027,58.02226355416136,"If latency drops from 200 ms to 120 ms, what is the percentage reduction?","If latency drops from 200 ms to 120 ms, what is the percentage reduction?































































"
p14,summarization,distilgpt2,mps,19,64,1.0028894590213895,63.81560741744222,Summarize this in one sentence: Containerization helps package applications and dependencies consistently across environments.,"Summarize this in one sentence: Containerization helps package applications and dependencies consistently across environments.































































"
p15,long_context,distilgpt2,mps,49,64,1.052728500100784,60.79440234958292,"Model serving frameworks like vLLM and TensorRT-LLM aim to improve efficiency for large language model inference by optimizing memory management, batching, and execution. Explain what kinds of improvements an engineer might look for when comparing serving frameworks.","Model serving frameworks like vLLM and TensorRT-LLM aim to improve efficiency for large language model inference by optimizing memory management, batching, and execution. Explain what kinds of improvements an engineer might look for when comparing serving frameworks.































































"
p16,short_qa,distilgpt2,mps,6,64,1.6770127080380917,38.16309780673785,What is a transformer model?,"What is a transformer model?































































"
p17,coding,distilgpt2,mps,16,64,1.0953074159333482,58.43108434125177,Write Python code to find the maximum subarray sum using Kadane's algorithm.,"Write Python code to find the maximum subarray sum using Kadane's algorithm.































































"
p18,reasoning,distilgpt2,mps,23,64,1.0780757500324398,59.36503070222497,"If one server handles 50 requests per second and another handles 80, how much higher is the second server's throughput?","If one server handles 50 requests per second and another handles 80, how much higher is the second server's throughput?































































"
p19,summarization,distilgpt2,mps,29,64,0.9635951250093058,66.41793668204987,"Summarize this: Profiling tools help engineers identify compute bottlenecks, memory inefficiencies, and kernel-level slowdowns.","Summarize this: Profiling tools help engineers identify compute bottlenecks, memory inefficiencies, and kernel-level slowdowns.































































"
p20,long_context,distilgpt2,mps,40,64,0.9632411249913275,66.44234588777158,"Deep learning deployment often requires balancing accuracy, latency, memory, and cost. Teams may compare multiple serving stacks to understand which one is best suited for production workloads. Explain why these tradeoffs matter.","Deep learning deployment often requires balancing accuracy, latency, memory, and cost. Teams may compare multiple serving stacks to understand which one is best suited for production workloads. Explain why these tradeoffs matter.































































"
